StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
6496,7.8,1,1,1,78,4.2,No,No,55,72,NotPlaced
8879,7.9,1,3,2,78,4.3,Yes,Yes,89,86,Placed
7362,7.8,0,2,2,80,3.9,Yes,Yes,55,67,NotPlaced
8367,7.3,0,1,1,71,4.6,No,No,57,67,NotPlaced
7475,8.5,1,3,2,86,4.7,Yes,Yes,73,83,Placed
47,6.9,1,1,1,76,4.4,No,No,55,65,NotPlaced
31,8.4,2,3,2,90,4.6,Yes,Yes,55,80,Placed
8251,7.5,1,1,1,79,3.9,No,No,55,73,NotPlaced
6936,6.5,1,1,0,80,4.4,Yes,Yes,55,66,NotPlaced
1469,8.5,0,3,2,84,4.1,Yes,Yes,84,84,NotPlaced
1666,8.6,1,2,0,87,4.8,Yes,Yes,74,76,Placed
1417,7.5,1,1,3,77,4.1,No,Yes,83,69,NotPlaced
6481,8.2,1,3,2,81,4.3,Yes,Yes,82,84,Placed
4853,8.5,1,3,2,87,4.8,Yes,Yes,67,85,Placed
2471,8.1,1,1,0,70,4.3,Yes,No,68,61,NotPlaced
4374,8.3,0,3,2,87,4.7,Yes,Yes,77,83,Placed
8525,7.9,2,2,0,77,4.4,No,Yes,68,68,Placed
430,8.3,1,2,0,90,4.5,Yes,Yes,82,80,Placed
5245,8.6,1,1,0,69,4.7,No,Yes,58,72,NotPlaced
2120,6.5,0,2,1,75,3.9,No,Yes,56,63,NotPlaced
386,8.5,1,3,2,74,4.1,No,Yes,76,68,Placed
1946,8.4,2,3,2,89,4.8,Yes,Yes,73,81,NotPlaced
4225,6.5,1,3,2,90,4.8,Yes,Yes,76,82,Placed
474,7.8,0,3,2,77,4.2,Yes,Yes,83,76,NotPlaced
2130,7.9,0,3,2,90,4.4,Yes,Yes,88,83,Placed
6557,7.1,1,2,2,74,4.3,Yes,Yes,55,66,NotPlaced
6999,8.1,1,3,2,85,4.8,No,Yes,55,73,Placed
1056,7.7,0,2,0,73,4.2,Yes,Yes,82,87,Placed
3275,8.2,2,3,2,89,4.8,Yes,Yes,84,86,Placed
4962,8.4,2,3,2,90,4.8,Yes,Yes,70,86,Placed
5364,8.4,0,2,0,81,4.4,Yes,Yes,61,68,Placed
5817,8.5,1,1,2,87,4.5,Yes,Yes,67,67,Placed
812,7.6,1,1,0,79,3.9,No,No,57,62,NotPlaced
4574,8.1,1,1,1,86,4.5,No,Yes,73,69,NotPlaced
6138,7.5,1,1,2,78,4.3,Yes,No,58,70,Placed
2389,7.6,1,1,1,85,4.1,No,Yes,85,70,NotPlaced
9649,8.4,2,3,0,89,4.6,Yes,Yes,87,82,Placed
6226,7.4,1,2,1,75,4.6,No,Yes,55,66,NotPlaced
112,7.3,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced
8910,8.1,2,3,2,68,4.5,Yes,Yes,76,85,NotPlaced
1746,8.5,0,3,0,88,4.8,Yes,Yes,88,82,Placed
7852,7.9,0,2,1,72,4.3,Yes,Yes,60,72,NotPlaced
1453,8.2,2,3,1,90,4.8,Yes,Yes,73,68,Placed
320,7.5,1,1,1,81,4.5,Yes,Yes,64,68,NotPlaced
8594,7.4,1,1,0,62,3.6,No,No,57,72,NotPlaced
3334,6.5,2,1,1,83,3.6,Yes,Yes,76,67,NotPlaced
1923,6.5,1,2,1,78,4.4,Yes,Yes,77,73,NotPlaced
5866,6.5,1,1,0,68,4.8,No,Yes,62,66,NotPlaced
9529,8.3,0,1,0,81,4.4,Yes,No,76,80,NotPlaced
3686,7.4,0,1,2,79,4.4,Yes,No,55,68,Placed
4276,8.3,2,2,1,88,4.6,Yes,Yes,80,81,Placed
4890,8.1,1,2,1,77,3.8,Yes,No,70,64,NotPlaced
5226,8.3,1,3,2,82,4.7,Yes,Yes,66,68,Placed
7473,6.5,2,1,0,78,4.4,No,Yes,75,65,NotPlaced
3606,7.8,1,3,0,74,4.2,Yes,No,62,84,NotPlaced
1053,8.7,0,1,2,90,4.5,Yes,Yes,76,87,Placed
4157,8.0,0,1,0,79,3.4,No,Yes,80,74,NotPlaced
9677,6.5,0,2,2,78,4.2,No,Yes,59,77,NotPlaced
100,7.9,0,1,2,83,4.8,Yes,No,58,81,NotPlaced
7509,8.2,2,2,3,84,4.8,Yes,Yes,79,80,NotPlaced
1457,8.3,1,1,1,70,4.8,Yes,Yes,64,86,NotPlaced
7689,7.3,1,3,0,71,4.5,No,No,58,70,NotPlaced
4005,7.9,1,1,1,75,4.4,Yes,Yes,74,70,NotPlaced
6867,8.3,1,1,1,73,4.3,Yes,Yes,59,62,NotPlaced
4510,8.1,1,1,0,79,4.4,Yes,Yes,73,88,NotPlaced
3300,7.1,1,3,2,76,4.8,Yes,Yes,78,80,Placed
3800,7.6,0,1,2,77,4.0,Yes,Yes,55,82,NotPlaced
4282,6.6,1,1,0,72,4.2,No,No,55,61,NotPlaced
9052,8.3,1,3,2,90,4.5,Yes,Yes,68,82,Placed
6463,8.4,2,3,1,76,4.8,Yes,Yes,56,80,NotPlaced
7913,7.8,2,2,2,81,4.5,Yes,Yes,85,57,Placed
1415,8.4,2,3,2,90,4.7,Yes,Yes,75,87,Placed
541,8.7,2,3,2,90,4.8,Yes,Yes,75,88,Placed
5816,8.5,2,3,2,90,4.7,Yes,Yes,73,85,Placed
8200,7.6,1,1,1,71,4.2,No,No,64,71,NotPlaced
3681,7.8,0,1,2,76,4.3,Yes,Yes,60,73,NotPlaced
755,6.8,1,1,0,67,4.3,Yes,No,84,61,NotPlaced
4197,8.3,2,3,2,81,4.7,Yes,Yes,84,85,NotPlaced
2651,8.5,1,2,0,85,4.3,No,Yes,55,83,Placed
4523,7.5,1,2,0,72,4.4,No,Yes,77,69,Placed
9520,8.7,1,1,1,80,4.1,Yes,Yes,69,79,Placed
3119,8.1,1,2,1,85,4.7,No,Yes,55,80,NotPlaced
3729,7.4,0,1,0,66,3.7,No,No,55,70,NotPlaced
3887,6.5,0,3,1,79,4.3,Yes,Yes,58,82,NotPlaced
7108,8.0,2,3,2,83,4.5,Yes,Yes,79,87,Placed
8069,8.9,1,3,2,90,4.6,Yes,Yes,71,81,Placed
7326,7.5,0,1,0,81,4.2,No,No,67,60,NotPlaced
8484,8.2,0,3,2,81,4.6,Yes,Yes,77,81,NotPlaced
8768,6.5,0,3,0,77,4.2,No,No,78,61,NotPlaced
6501,7.9,0,1,1,69,3.6,Yes,Yes,76,63,NotPlaced
8427,7.9,0,3,2,80,4.2,Yes,Yes,79,85,Placed
7964,7.2,1,2,0,80,4.6,No,Yes,65,58,NotPlaced
602,7.5,0,2,1,63,3.5,No,Yes,75,66,NotPlaced
9250,7.6,1,1,2,79,4.4,Yes,Yes,65,69,Placed
8920,8.7,2,2,0,89,4.5,No,Yes,78,71,Placed
6815,8.3,1,3,2,90,4.8,Yes,No,82,84,Placed
5412,7.7,1,3,0,78,4.4,Yes,No,55,62,NotPlaced
8748,8.0,2,3,2,90,4.8,Yes,Yes,80,88,Placed
5523,7.2,1,1,0,66,3.9,Yes,No,61,67,NotPlaced
1045,7.6,1,2,0,76,3.8,Yes,Yes,55,73,Placed
7335,7.8,0,1,0,74,4.5,No,No,55,69,NotPlaced
1558,6.7,1,1,1,60,4.3,No,No,59,63,NotPlaced
3740,7.6,1,1,0,74,3.3,No,No,56,69,NotPlaced
3523,7.7,1,1,1,69,4.0,Yes,Yes,79,85,NotPlaced
181,8.4,0,1,2,88,4.8,Yes,Yes,74,82,Placed
2116,6.6,0,1,1,71,4.4,Yes,Yes,64,85,NotPlaced
1700,7.4,1,2,0,79,4.7,Yes,Yes,86,83,NotPlaced
1380,7.5,1,1,1,84,4.3,No,Yes,55,67,NotPlaced
7230,6.7,1,2,0,72,4.3,No,Yes,55,72,NotPlaced
9144,8.1,1,1,0,86,4.8,No,Yes,61,82,Placed
619,6.5,1,1,0,84,4.5,Yes,Yes,55,84,NotPlaced
3182,7.8,1,3,1,88,4.0,No,Yes,72,83,NotPlaced
9852,8.3,2,3,2,90,4.8,Yes,Yes,67,88,Placed
1601,8.2,1,3,0,88,4.8,No,Yes,77,88,Placed
5964,7.7,1,1,0,90,4.8,No,Yes,79,80,Placed
1616,8.6,2,3,3,87,4.8,No,Yes,73,85,Placed
5921,7.1,1,3,2,88,4.0,Yes,Yes,78,65,Placed
9592,7.8,1,3,1,77,3.7,No,Yes,72,85,NotPlaced
3892,7.6,1,1,0,74,3.8,No,Yes,61,66,NotPlaced
2084,8.7,1,2,2,84,4.3,No,No,78,87,NotPlaced
4575,7.6,0,1,0,70,4.6,No,Yes,77,64,Placed
5595,8.0,1,3,2,77,4.5,Yes,No,78,77,NotPlaced
5122,8.3,2,2,2,90,4.8,Yes,Yes,71,83,Placed
4588,7.4,0,1,0,76,3.7,No,Yes,62,68,NotPlaced
4903,8.1,1,3,0,77,4.1,No,Yes,70,84,NotPlaced
8253,8.5,2,3,2,90,4.8,Yes,Yes,79,82,Placed
5917,7.5,0,2,1,83,4.6,No,Yes,55,69,NotPlaced
5130,6.7,1,1,1,76,3.9,No,No,62,65,NotPlaced
8335,6.5,2,3,0,81,3.5,No,Yes,55,62,NotPlaced
1919,7.4,2,1,3,66,3.9,No,No,61,57,NotPlaced
8331,8.6,2,3,2,84,4.6,Yes,Yes,80,85,Placed
5708,7.7,1,1,0,82,4.5,Yes,Yes,55,84,NotPlaced
5385,8.5,2,2,0,85,4.5,Yes,Yes,71,78,Placed
6337,7.8,1,2,2,90,4.8,Yes,Yes,81,80,Placed
2055,8.3,2,3,2,90,4.8,Yes,Yes,78,87,Placed
7613,7.7,1,2,0,80,3.5,Yes,Yes,79,84,NotPlaced
9210,7.5,1,2,0,78,4.0,Yes,Yes,66,85,NotPlaced
3964,6.7,0,1,0,74,4.2,Yes,Yes,55,68,NotPlaced
1127,7.5,0,3,1,84,4.2,No,Yes,56,68,NotPlaced
3429,8.4,1,3,2,83,4.8,Yes,Yes,65,71,Placed
4602,6.5,0,1,0,68,4.5,No,No,66,74,NotPlaced
3722,8.2,1,2,0,79,4.8,Yes,Yes,78,69,NotPlaced
2390,6.5,0,1,0,90,4.5,Yes,Yes,56,82,NotPlaced
1323,6.8,0,1,1,61,3.5,Yes,Yes,57,62,NotPlaced
1604,6.5,2,1,1,72,3.7,Yes,No,56,70,NotPlaced
7225,7.7,1,2,0,82,4.4,No,Yes,55,69,NotPlaced
7426,7.5,0,1,0,64,4.4,No,Yes,67,69,NotPlaced
4337,7.2,0,2,0,82,3.9,Yes,No,69,64,Placed
5594,8.7,2,3,2,90,4.7,Yes,Yes,70,87,Placed
4412,7.5,1,3,1,74,4.7,Yes,Yes,78,68,Placed
5859,6.6,1,2,1,66,4.6,Yes,No,57,70,NotPlaced
9344,6.8,1,1,1,67,4.4,No,No,68,65,NotPlaced
3992,8.2,1,2,1,74,3.8,No,No,58,67,NotPlaced
6080,8.1,1,3,2,80,4.7,No,Yes,67,67,Placed
1560,8.3,2,3,0,90,4.7,Yes,Yes,65,69,Placed
4683,8.5,2,3,2,90,4.8,Yes,Yes,82,70,Placed
7558,8.1,1,3,2,85,4.5,Yes,No,76,87,NotPlaced
3773,8.3,0,3,2,90,4.3,Yes,Yes,77,85,Placed
8780,8.4,0,1,0,85,3.7,Yes,Yes,57,71,Placed
3458,7.7,0,1,1,60,4.7,No,No,59,62,NotPlaced
8384,7.4,1,3,2,80,4.4,Yes,Yes,73,72,Placed
1355,7.7,0,1,0,78,4.3,Yes,No,55,68,NotPlaced
46,6.7,1,1,2,73,4.5,No,No,55,66,Placed
9873,7.5,1,2,1,74,3.8,Yes,Yes,77,84,NotPlaced
749,8.6,2,2,2,84,4.0,Yes,Yes,72,84,NotPlaced
7918,8.3,0,3,1,73,4.4,Yes,Yes,76,75,NotPlaced
4242,7.6,1,3,1,82,4.5,Yes,Yes,84,80,Placed
5629,8.9,0,3,3,87,4.8,Yes,Yes,73,88,Placed
4658,8.0,0,3,2,82,4.8,Yes,No,73,82,Placed
4239,8.5,0,3,2,83,4.5,No,No,70,69,NotPlaced
3461,7.6,1,1,1,75,4.1,Yes,Yes,55,68,NotPlaced
7382,7.5,0,1,1,74,4.0,No,Yes,55,69,NotPlaced
5550,7.9,2,3,2,85,4.7,Yes,Yes,90,84,Placed
7076,8.5,1,2,2,90,4.8,Yes,Yes,80,83,Placed
5839,6.7,1,2,0,78,4.6,No,Yes,73,67,Placed
8092,8.5,1,1,1,84,4.6,No,Yes,71,81,NotPlaced
5475,7.5,1,3,0,90,4.3,Yes,Yes,78,83,Placed
3615,7.8,1,2,1,81,4.6,Yes,Yes,82,84,NotPlaced
7502,6.7,1,1,0,74,4.4,Yes,Yes,55,69,NotPlaced
7054,7.9,1,1,2,74,3.5,No,No,88,72,NotPlaced
7368,7.4,1,1,1,73,3.6,No,Yes,62,63,NotPlaced
8020,6.6,1,3,0,62,3.8,Yes,Yes,57,72,NotPlaced
9639,7.9,2,3,2,83,4.5,Yes,Yes,66,80,Placed
9056,7.4,0,1,0,79,4.2,Yes,Yes,61,65,NotPlaced
665,8.5,0,3,1,83,4.0,Yes,Yes,59,82,NotPlaced
2320,7.4,0,1,1,90,4.8,Yes,Yes,71,69,NotPlaced
3543,6.6,1,1,0,64,3.2,Yes,Yes,55,62,NotPlaced
3678,7.5,1,3,0,79,4.4,Yes,No,65,64,Placed
9600,7.6,1,1,0,76,3.6,Yes,Yes,86,68,NotPlaced
3092,8.1,1,2,0,90,4.6,Yes,Yes,84,86,Placed
676,8.2,1,3,2,85,4.8,Yes,Yes,55,82,NotPlaced
8677,6.6,1,1,0,71,3.0,No,No,65,62,NotPlaced
4885,7.7,1,1,1,73,4.4,Yes,Yes,82,81,NotPlaced
8080,6.7,1,2,2,68,4.1,Yes,No,79,70,NotPlaced
1963,8.4,2,3,2,90,4.8,Yes,Yes,79,84,Placed
1841,7.7,1,1,0,69,3.8,No,No,57,65,NotPlaced
7169,6.8,1,1,1,77,3.3,No,Yes,55,58,NotPlaced
9899,7.5,0,1,1,73,4.6,Yes,Yes,56,62,NotPlaced
3539,8.2,1,1,0,79,4.5,Yes,Yes,81,63,Placed
8027,8.1,1,1,1,77,4.1,Yes,Yes,62,75,Placed
4867,7.3,1,1,2,81,3.7,No,Yes,58,76,NotPlaced
4175,8.0,2,1,1,82,4.2,Yes,No,83,67,Placed
8089,8.3,2,3,2,90,4.8,Yes,Yes,72,88,Placed
4378,8.3,1,2,0,70,4.8,Yes,Yes,83,82,Placed
6212,8.7,2,3,2,90,4.8,Yes,Yes,88,84,Placed
4767,7.0,1,2,1,84,3.9,No,Yes,57,64,NotPlaced
412,7.5,1,3,2,90,4.2,Yes,Yes,80,72,Placed
614,7.7,0,1,1,67,4.2,Yes,No,64,64,NotPlaced
6127,6.5,0,1,1,72,4.5,No,No,55,67,NotPlaced
5211,6.9,2,1,2,84,4.7,Yes,Yes,73,82,NotPlaced
1431,7.8,1,1,1,83,3.7,Yes,No,74,62,NotPlaced
2426,8.0,2,3,2,89,4.1,Yes,Yes,75,85,Placed
8842,8.7,2,3,2,90,4.8,Yes,Yes,71,84,Placed
3834,6.8,1,1,2,77,4.1,No,Yes,71,70,NotPlaced
4719,8.4,2,2,0,90,4.1,Yes,Yes,76,78,NotPlaced
7186,8.2,2,3,2,90,4.8,Yes,Yes,79,79,Placed
1418,7.6,0,1,0,71,3.9,No,No,55,63,NotPlaced
7200,7.6,2,3,2,77,4.8,Yes,Yes,79,77,NotPlaced
605,8.2,0,1,0,73,4.8,Yes,Yes,55,66,Placed
1273,8.6,0,3,2,85,4.6,No,Yes,55,78,Placed
3965,7.7,1,2,1,76,4.8,No,Yes,59,68,NotPlaced
6368,6.7,1,3,1,78,4.1,Yes,Yes,55,82,Placed
8747,6.5,0,3,0,72,4.2,Yes,Yes,75,69,NotPlaced
248,6.7,1,2,1,73,4.3,No,Yes,71,66,NotPlaced
9227,7.8,1,1,1,84,3.9,Yes,Yes,73,76,NotPlaced
1983,7.7,1,2,1,69,4.1,Yes,No,57,63,NotPlaced
2836,8.6,2,2,1,74,4.0,No,No,59,63,NotPlaced
5376,7.7,0,3,1,85,4.3,Yes,Yes,77,65,Placed
200,7.8,2,3,0,79,4.3,Yes,No,87,87,NotPlaced
486,6.7,1,1,1,73,4.0,No,Yes,62,65,NotPlaced
6084,7.4,1,1,1,65,4.5,No,No,55,73,NotPlaced
8957,7.9,1,2,0,67,4.4,Yes,No,73,72,Placed
456,7.7,1,3,2,84,4.6,Yes,Yes,80,83,Placed
9799,6.6,0,3,0,85,4.0,Yes,No,64,62,Placed
8827,8.1,2,2,0,80,4.8,Yes,No,55,82,Placed
6516,7.5,2,1,1,80,4.3,No,Yes,72,64,NotPlaced
1722,8.2,0,1,1,79,3.9,No,Yes,62,63,NotPlaced
7051,8.0,2,2,0,84,4.7,Yes,Yes,64,88,Placed
6383,8.9,2,3,2,80,4.4,Yes,Yes,64,74,Placed
8166,6.5,0,1,0,76,4.7,No,Yes,59,68,NotPlaced
5768,7.4,1,2,2,78,4.7,No,Yes,70,70,Placed
5810,6.6,1,2,1,64,3.5,No,Yes,62,66,NotPlaced
4627,8.2,0,1,2,77,4.3,No,No,68,68,NotPlaced
863,7.4,0,1,1,65,4.7,No,No,55,58,NotPlaced
2095,7.7,1,1,0,82,4.3,No,Yes,60,63,NotPlaced
948,8.4,2,3,2,90,4.8,No,Yes,70,85,Placed
5642,7.7,0,1,0,82,4.1,No,No,58,71,NotPlaced
1445,8.1,1,3,2,90,4.8,Yes,Yes,77,87,Placed
1281,8.2,1,1,1,80,4.3,No,No,75,64,NotPlaced
3111,7.1,1,1,2,71,4.2,No,Yes,57,71,NotPlaced
8953,8.2,2,3,2,81,4.8,Yes,Yes,84,64,NotPlaced
7610,7.5,1,1,0,71,4.0,No,No,63,64,NotPlaced
5136,7.5,1,3,1,81,4.6,Yes,Yes,72,80,NotPlaced
3017,6.5,1,1,0,79,4.4,No,Yes,55,69,NotPlaced
2303,8.6,2,3,2,90,4.5,Yes,Yes,84,82,Placed
2005,6.7,1,2,0,76,4.8,Yes,Yes,59,66,Placed
4581,7.8,1,2,0,72,3.6,Yes,Yes,60,64,NotPlaced
8705,8.4,2,3,1,86,4.4,Yes,Yes,57,80,Placed
1006,7.8,1,2,2,76,4.0,No,Yes,73,58,NotPlaced
5139,8.4,1,3,0,90,4.5,Yes,Yes,59,82,Placed
4318,8.6,2,3,2,90,4.8,Yes,Yes,84,87,Placed
6559,8.3,2,3,2,90,4.8,Yes,Yes,68,81,NotPlaced
4388,7.3,1,2,1,68,4.6,Yes,No,75,83,NotPlaced
2133,8.1,1,1,0,62,3.0,No,No,55,67,NotPlaced
4266,7.9,2,3,2,88,4.6,Yes,No,79,79,Placed
2058,8.4,2,3,2,90,4.8,Yes,Yes,74,88,Placed
5387,8.2,1,3,2,90,4.7,Yes,Yes,76,86,Placed
230,7.9,2,3,2,90,4.8,Yes,Yes,83,88,Placed
2890,8.1,1,3,2,78,4.7,Yes,Yes,75,88,NotPlaced
4473,8.1,2,3,2,90,4.7,Yes,Yes,77,84,Placed
6065,8.3,1,2,1,79,4.2,No,No,55,72,NotPlaced
7925,8.3,2,2,2,75,3.8,No,Yes,71,66,NotPlaced
7650,8.3,1,3,2,89,3.4,Yes,Yes,77,85,Placed
8382,7.6,1,1,1,77,4.8,No,Yes,63,68,NotPlaced
210,7.8,1,3,0,88,4.8,Yes,Yes,70,78,Placed
2759,6.5,1,1,1,74,3.8,No,No,69,64,NotPlaced
8472,8.4,1,3,2,90,4.2,Yes,Yes,89,88,Placed
2949,6.7,1,1,0,71,4.3,No,Yes,57,60,Placed
7117,7.8,2,1,1,78,4.1,Yes,Yes,62,61,Placed
6331,7.5,1,1,3,79,4.5,Yes,No,56,71,NotPlaced
1729,8.2,2,3,2,87,4.7,Yes,No,90,66,Placed
4177,8.3,1,3,1,90,4.8,Yes,Yes,70,79,Placed
338,7.2,1,2,0,83,4.5,No,Yes,74,69,NotPlaced
4985,7.5,0,1,0,71,3.8,No,Yes,59,69,NotPlaced
6879,6.5,1,2,0,70,4.0,No,Yes,68,66,NotPlaced
7249,8.4,0,3,2,90,4.8,Yes,Yes,75,83,Placed
8453,8.2,2,3,2,90,4.8,Yes,No,76,88,Placed
1227,8.9,2,1,2,90,3.7,Yes,Yes,62,69,Placed
7609,8.2,1,2,0,81,4.4,No,Yes,55,62,NotPlaced
6828,8.4,1,1,0,72,4.6,Yes,Yes,77,60,Placed
3541,8.6,1,3,0,89,4.7,Yes,Yes,72,85,Placed
5869,6.7,0,2,0,74,4.2,Yes,Yes,55,68,NotPlaced
2112,7.5,1,3,0,84,4.1,Yes,Yes,82,82,NotPlaced
2692,7.6,1,2,0,80,3.7,No,Yes,69,63,NotPlaced
7154,7.9,2,1,0,88,4.5,Yes,Yes,73,78,NotPlaced
3708,8.2,0,3,0,84,4.7,Yes,No,62,65,Placed
1018,6.5,1,1,0,70,4.2,No,No,55,59,NotPlaced
8512,6.8,1,3,1,86,4.8,Yes,Yes,76,79,NotPlaced
2808,7.7,1,2,1,81,4.8,Yes,Yes,81,82,Placed
5016,6.5,1,1,1,71,3.7,No,Yes,67,64,NotPlaced
1929,7.9,2,1,2,88,3.6,No,No,73,66,NotPlaced
351,7.5,1,2,0,70,3.7,No,Yes,55,66,NotPlaced
5174,7.7,1,3,3,82,4.4,Yes,Yes,76,84,Placed
4193,7.6,0,1,1,76,3.9,No,Yes,55,72,NotPlaced
1935,8.4,2,3,2,90,4.8,Yes,Yes,80,84,Placed
6902,8.0,1,1,0,79,3.8,No,No,55,66,NotPlaced
4824,7.3,1,2,1,68,3.9,No,No,56,65,NotPlaced
565,8.2,1,2,1,90,4.7,Yes,Yes,76,80,Placed
1583,7.5,2,3,0,69,3.9,Yes,Yes,76,86,NotPlaced
4695,7.7,1,1,1,70,4.1,No,No,57,71,NotPlaced
2176,6.5,1,1,0,77,3.7,No,Yes,63,69,NotPlaced
7029,6.5,2,1,2,73,4.2,No,No,74,59,NotPlaced
4881,6.6,0,1,1,77,4.3,Yes,Yes,82,66,NotPlaced
2229,8.0,1,3,2,90,4.7,Yes,Yes,72,84,NotPlaced
1116,7.3,1,1,1,75,3.7,No,Yes,55,74,NotPlaced
3127,8.6,1,3,1,85,4.8,Yes,No,73,86,NotPlaced
